Date,Production_Tons,Electricity_Consumption_MWh,Temperature_Celsius,Humidity_Percent,Weather_Condition,Shift,Downtime_Hours
2024-07-07,457.7,1219.4,34.9,62.8,Sunny,Evening,0.56
2024-07-08,424.3,1307.4,33.6,88.0,Sunny,Night,0.62
2024-07-09,477.7,1097.3,33.0,33.1,Cloudy,Evening,0.12
2024-07-10,542.8,1213.3,30.2,60.3,Stormy,Evening,0.88
2024-07-11,510.7,1130.0,33.7,73.1,Sunny,Evening,0.45
2024-07-12,437.7,1319.5,30.5,81.8,Cloudy,Night,0.63
2024-07-13,508.7,1047.7,32.8,40.8,Cloudy,Night,2.7
2024-07-14,519.3,1144.1,38.6,78.0,Foggy,Night,4.11
2024-07-15,455.8,1237.7,27.0,63.2,Foggy,Night,0.31
2024-07-16,507.7,1356.6,37.7,53.8,Stormy,Morning,0.7
2024-07-17,502.9,1193.4,38.6,37.9,Foggy,Evening,3.96
2024-07-18,442.9,1144.5,31.4,81.9,Rainy,Night,0.1
2024-07-19,517.9,1388.1,21.4,39.4,Foggy,Morning,0.15
2024-07-20,528.0,1055.2,29.0,48.6,Foggy,Evening,0.27
2024-07-21,554.2,980.1,38.5,47.4,Foggy,Evening,1.36
2024-07-22,552.7,1244.0,31.9,82.3,Sunny,Morning,0.24
2024-07-23,431.1,1149.8,27.0,70.4,Rainy,Night,5.17
2024-07-24,453.1,1097.9,29.5,77.8,Cloudy,Morning,0.89
2024-07-25,525.8,1270.8,36.2,45.0,Sunny,Night,1.04
2024-07-26,525.7,1224.4,34.7,67.5,Cloudy,Night,0.42
2024-07-27,525.8,1143.6,30.8,64.3,Rainy,Evening,0.96
2024-07-28,692.6,1072.0,30.2,80.0,Rainy,Morning,1.63
2024-07-29,528.5,1287.2,30.0,84.4,Stormy,Night,2.09
2024-07-30,556.8,1265.0,27.4,30.7,Foggy,Morning,2.1
2024-07-31,547.7,1190.1,40.1,70.4,Rainy,Morning,1.29
2024-08-01,532.6,1384.7,30.4,33.1,Cloudy,Night,3.52
2024-08-02,484.2,1093.0,38.1,62.9,Stormy,Morning,2.55
2024-08-03,537.9,1047.4,39.6,47.3,Cloudy,Evening,2.12
2024-08-04,461.4,1130.8,37.0,48.4,Rainy,Night,0.09
2024-08-05,488.2,1195.4,29.8,51.2,Rainy,Evening,0.01
2024-08-06,475.7,1224.3,34.0,67.3,Cloudy,Evening,0.36
2024-08-07,504.1,1175.9,31.9,50.0,Stormy,Night,1.63
2024-08-08,615.7,1235.2,27.5,74.0,Foggy,Night,0.79
2024-08-09,406.6,1074.8,33.6,54.3,Cloudy,Night,0.77
2024-08-10,534.3,1344.4,26.1,34.1,Sunny,Morning,3.24
2024-08-11,419.4,1191.8,37.9,77.0,Foggy,Morning,3.39
2024-08-12,476.4,1311.7,29.7,47.1,Cloudy,Morning,3.6
2024-08-13,554.4,1234.3,33.0,56.0,Rainy,Evening,0.57
2024-08-14,503.2,1245.7,33.4,71.1,Stormy,Morning,1.76
2024-08-15,446.1,1257.0,30.7,49.9,Stormy,Morning,0.48
2024-08-16,464.2,1244.8,34.9,33.4,Stormy,Evening,0.32
2024-08-17,534.0,1264.3,29.6,52.4,Cloudy,Night,0.31
2024-08-18,463.5,1332.9,36.4,86.7,Foggy,Evening,0.63
2024-08-19,510.8,1219.7,25.3,68.5,Foggy,Night,0.84
2024-08-20,502.3,1270.9,32.6,70.3,Stormy,Evening,2.67
2024-08-21,467.4,1191.0,41.7,67.9,Foggy,Night,0.19
2024-08-22,607.2,1344.0,27.0,41.9,Foggy,Night,1.99
2024-08-23,531.7,1132.4,28.6,55.1,Stormy,Evening,1.14
2024-08-24,398.7,1380.1,34.6,75.1,Cloudy,Night,0.51
2024-08-25,509.3,1196.0,32.9,36.1,Stormy,Morning,1.02
2024-08-26,466.9,1056.9,33.8,46.7,Cloudy,Night,0.53
2024-08-27,542.6,1212.8,34.4,46.6,Cloudy,Morning,1.36
2024-08-28,460.4,1131.9,35.2,55.9,Stormy,Night,0.85
2024-08-29,494.3,1284.1,37.5,88.8,Rainy,Night,0.27
2024-08-30,525.2,1134.7,34.0,34.1,Sunny,Evening,0.19
2024-08-31,543.3,1155.4,30.8,61.1,Sunny,Evening,1.19
2024-09-01,440.0,1011.0,35.4,40.8,Rainy,Evening,3.49
2024-09-02,483.3,1154.8,41.5,88.2,Rainy,Night,0.63
2024-09-03,476.3,957.6,31.3,36.8,Sunny,Morning,1.98
2024-09-04,467.3,1041.6,27.1,54.2,Foggy,Night,1.61
2024-09-05,588.3,1276.0,37.5,74.3,Rainy,Night,4.02
2024-09-06,520.2,1278.6,31.4,72.3,Rainy,Morning,2.58
2024-09-07,437.0,1242.5,21.1,55.4,Stormy,Evening,1.25
2024-09-08,545.9,1103.3,36.2,50.8,Foggy,Evening,1.61
2024-09-09,606.1,1195.2,29.3,53.9,Rainy,Evening,3.43
2024-09-10,551.6,1199.6,31.5,45.9,Rainy,Evening,0.77
2024-09-11,424.0,1084.2,33.7,42.3,Foggy,Night,0.59
2024-09-12,475.8,1350.3,33.0,59.0,Sunny,Evening,0.02
2024-09-13,563.3,1287.7,35.5,46.1,Foggy,Morning,2.63
2024-09-14,464.6,1177.9,29.8,47.2,Cloudy,Morning,2.42
2024-09-15,522.2,1202.7,34.6,69.4,Sunny,Night,0.17
2024-09-16,538.7,1220.8,30.7,88.1,Cloudy,Evening,1.29
2024-09-17,453.7,995.8,35.7,66.2,Foggy,Evening,0.94
2024-09-18,497.0,1175.3,35.1,34.6,Cloudy,Morning,0.19
2024-09-19,337.9,1131.8,27.3,34.5,Foggy,Evening,5.91
2024-09-20,448.8,1099.8,37.4,87.1,Rainy,Morning,0.36
2024-09-21,487.4,1171.9,29.3,47.8,Stormy,Night,0.1
2024-09-22,437.6,1379.8,36.0,35.5,Cloudy,Evening,1.36
2024-09-23,581.6,1264.1,33.8,65.9,Cloudy,Night,2.01
2024-09-24,428.5,1142.9,41.2,67.4,Sunny,Evening,0.05
2024-09-25,478.0,1257.3,30.9,68.9,Cloudy,Night,1.61
2024-09-26,506.5,1339.9,30.3,46.0,Foggy,Night,1.14
2024-09-27,572.1,1292.5,31.9,30.9,Sunny,Morning,0.16
2024-09-28,428.2,1206.0,30.5,87.9,Rainy,Night,0.28
2024-09-29,558.2,1135.3,36.0,45.1,Sunny,Morning,1.26
2024-09-30,500.5,1269.8,23.9,70.6,Sunny,Morning,0.53
2024-10-01,450.9,1239.3,26.7,72.4,Stormy,Evening,4.18
2024-10-02,523.1,1289.5,26.7,66.6,Stormy,Night,2.56
2024-10-03,510.0,1263.5,36.8,48.8,Sunny,Night,6.16
2024-10-04,470.0,1305.0,40.6,46.3,Cloudy,Night,0.45
2024-10-05,503.5,1146.5,31.5,65.9,Stormy,Evening,5.25
2024-10-06,480.7,1331.7,31.2,82.0,Foggy,Evening,0.85
2024-10-07,505.7,1219.8,32.4,86.8,Stormy,Morning,0.64
2024-10-08,533.1,1407.5,37.8,36.4,Cloudy,Evening,0.08
2024-10-09,579.3,1131.1,27.4,39.3,Cloudy,Night,0.08
2024-10-10,438.1,1373.6,33.2,86.7,Foggy,Night,1.77
2024-10-11,606.7,1219.8,36.9,74.2,Sunny,Night,0.92
2024-10-12,402.4,1134.9,34.5,83.0,Foggy,Morning,0.39
2024-10-13,492.4,1151.6,32.9,42.2,Rainy,Night,1.43
2024-10-14,529.4,1168.0,37.0,65.3,Rainy,Evening,0.44
2024-10-15,514.0,1242.4,18.5,72.1,Sunny,Night,1.29
2024-10-16,468.9,1252.3,35.4,70.8,Rainy,Evening,0.67
2024-10-17,489.6,1142.6,28.7,54.5,Cloudy,Night,2.6
2024-10-18,475.3,1197.6,22.8,30.9,Sunny,Morning,2.58
2024-10-19,470.5,1414.2,34.6,65.0,Sunny,Night,0.97
2024-10-20,542.5,1372.8,38.9,45.2,Stormy,Morning,0.65
2024-10-21,517.9,1243.6,31.3,57.0,Stormy,Evening,0.68
2024-10-22,465.4,1203.8,36.8,87.5,Cloudy,Morning,2.46
2024-10-23,545.0,1212.0,40.1,53.9,Rainy,Evening,0.6
2024-10-24,515.4,1261.4,38.6,80.4,Rainy,Morning,0.35
2024-10-25,540.6,1097.7,40.2,41.3,Sunny,Morning,0.13
2024-10-26,531.5,1174.3,35.7,70.3,Cloudy,Night,0.94
2024-10-27,458.6,1033.1,32.4,88.6,Stormy,Morning,0.99
2024-10-28,472.0,1239.9,24.0,36.1,Stormy,Evening,2.76
2024-10-29,537.4,1264.7,30.8,30.5,Foggy,Night,0.38
2024-10-30,530.5,1151.7,27.8,56.0,Sunny,Night,0.72
2024-10-31,499.0,1357.4,42.9,35.6,Cloudy,Night,2.48
2024-11-01,505.9,1077.4,31.1,74.9,Stormy,Evening,2.6
2024-11-02,563.9,1053.6,32.6,84.9,Rainy,Morning,0.73
2024-11-03,470.4,1222.4,34.8,56.0,Foggy,Night,0.92
2024-11-04,527.4,1304.7,32.2,45.5,Rainy,Evening,0.54
2024-11-05,489.9,1368.4,40.5,56.1,Foggy,Morning,4.04
2024-11-06,489.1,1154.1,28.9,73.4,Foggy,Morning,0.19
2024-11-07,554.9,1307.9,33.0,30.5,Sunny,Night,4.07
2024-11-08,541.3,1196.1,28.3,65.4,Stormy,Night,1.73
2024-11-09,540.7,1182.7,25.4,66.8,Sunny,Night,1.14
2024-11-10,565.3,1288.4,28.9,68.3,Rainy,Night,0.05
2024-11-11,501.1,1265.2,31.8,44.5,Stormy,Morning,0.97
2024-11-12,534.1,1042.4,29.9,72.8,Rainy,Morning,0.79
2024-11-13,484.5,1347.7,28.5,35.5,Rainy,Night,0.26
2024-11-14,516.2,1338.0,25.0,42.0,Sunny,Night,1.6
2024-11-15,493.5,1137.4,31.6,82.6,Sunny,Evening,5.32
2024-11-16,504.8,1239.6,24.5,74.3,Rainy,Evening,1.24
2024-11-17,529.8,1249.4,35.8,30.8,Foggy,Night,1.88
2024-11-18,459.1,1226.1,32.4,44.9,Foggy,Night,0.11
2024-11-19,604.6,1145.0,24.7,42.9,Stormy,Evening,0.81
2024-11-20,449.7,1132.8,30.5,46.2,Rainy,Morning,0.19
2024-11-21,439.3,1197.4,28.2,44.9,Rainy,Morning,1.42
2024-11-22,557.9,1317.3,33.6,33.8,Rainy,Night,4.18
2024-11-23,539.6,1254.4,38.7,57.5,Stormy,Morning,1.63
2024-11-24,531.2,1162.9,22.6,74.0,Cloudy,Morning,0.12
2024-11-25,531.4,1277.2,32.6,66.4,Stormy,Evening,0.66
2024-11-26,499.4,915.1,31.2,70.4,Foggy,Evening,1.2
2024-11-27,455.1,1314.9,35.4,34.9,Stormy,Morning,0.77
2024-11-28,503.8,1026.0,33.1,87.1,Cloudy,Night,2.69
2024-11-29,466.1,1163.8,28.2,80.3,Rainy,Morning,2.53
2024-11-30,548.8,1088.0,30.4,78.3,Stormy,Morning,1.42
2024-12-01,492.6,1070.5,28.0,79.4,Sunny,Evening,0.7
2024-12-02,458.7,1316.1,37.4,86.0,Sunny,Morning,0.44
2024-12-03,483.9,1153.2,32.1,62.7,Foggy,Evening,0.17
2024-12-04,520.6,1234.7,41.5,42.0,Foggy,Morning,0.66
2024-12-05,471.8,1195.3,31.7,67.0,Cloudy,Night,0.8
2024-12-06,458.9,1247.7,28.5,74.6,Sunny,Morning,1.69
2024-12-07,512.2,1207.7,24.4,74.3,Sunny,Evening,1.61
2024-12-08,512.2,1071.7,23.0,61.3,Rainy,Morning,0.11
2024-12-09,474.7,1299.6,24.1,34.1,Rainy,Morning,0.75
2024-12-10,476.4,1150.6,33.3,52.3,Cloudy,Morning,0.3
2024-12-11,511.6,1044.3,34.5,85.2,Cloudy,Night,0.26
2024-12-12,427.6,1157.2,24.1,65.1,Sunny,Night,2.63
2024-12-13,429.6,1350.1,36.5,62.3,Stormy,Morning,0.06
2024-12-14,464.1,1285.0,29.6,46.1,Stormy,Morning,0.81
2024-12-15,489.3,1165.1,32.7,52.1,Cloudy,Evening,0.28
2024-12-16,515.5,1165.1,40.1,83.7,Sunny,Night,3.17
2024-12-17,573.8,1167.8,36.5,70.0,Sunny,Night,1.22
2024-12-18,542.9,1407.7,30.7,77.2,Sunny,Night,0.39
2024-12-19,492.0,1238.2,27.5,57.3,Sunny,Evening,1.05
2024-12-20,499.0,1243.0,21.2,67.8,Foggy,Night,1.97
2024-12-21,449.9,1303.0,28.4,44.9,Stormy,Night,4.76
2024-12-22,499.1,1223.9,30.9,72.3,Foggy,Evening,0.37
2024-12-23,485.6,1174.1,27.1,55.7,Foggy,Morning,3.26
2024-12-24,516.1,1180.4,31.3,56.6,Rainy,Evening,4.08
2024-12-25,458.6,1192.8,32.4,69.0,Cloudy,Evening,3.72
2024-12-26,526.0,1196.3,30.9,86.2,Cloudy,Evening,1.51
2024-12-27,576.6,1272.8,28.7,33.8,Rainy,Night,1.49
2024-12-28,494.6,1205.2,32.8,79.5,Foggy,Evening,0.77
2024-12-29,520.1,1273.3,34.2,47.5,Cloudy,Night,2.09
2024-12-30,534.5,1191.9,26.5,56.6,Foggy,Evening,1.14
2024-12-31,479.9,1207.9,39.1,31.3,Stormy,Morning,1.7
2025-01-01,511.2,1000.2,31.5,48.1,Rainy,Night,0.84
2025-01-02,500.6,1291.6,32.1,60.2,Rainy,Morning,1.97
2025-01-03,504.9,1234.6,35.5,33.4,Stormy,Morning,2.61
2025-01-04,461.3,1299.8,33.2,59.5,Stormy,Night,0.24
2025-01-05,501.2,910.4,36.8,85.6,Sunny,Night,2.68
2025-01-06,524.9,1408.8,33.4,36.3,Rainy,Evening,1.17
2025-01-07,572.6,1186.0,28.9,75.9,Stormy,Night,2.79
2025-01-08,548.0,1310.8,33.8,54.6,Foggy,Evening,0.85
2025-01-09,607.7,1096.0,26.3,69.3,Sunny,Evening,0.71
2025-01-10,461.6,1261.3,32.5,45.6,Stormy,Morning,3.7
